state,county,total_cost,cost_of_living_ranking,geometry
ID,Boise,22868.189566,0.8558352778786272,POINT (-116.200886 43.6166163)
ID,Minidoka,20939.537242,0.9107821516811476,POINT (-113.490282 42.7537967)
MA,Norfolk,39491.3855,0.3822441397487125,POINT (-71.3250564 42.1195426)
AR,Boone,18822.307106,0.9711015652146384,POINT (-93.021009 36.4736776)
AR,Marion,19180.138306,0.9609070342749064,POINT (-90.19498 35.2129831)
CO,Broomfield,33925.89882,0.5408036117956646,POINT (-105.05208 39.9403995)
FL,Miami-Dade,26549.848092,0.7509456490457147,POINT (-80.356277 25.8359902)
GA,Baldwin,19215.60205,0.9598966801318168,POINT (-83.5373947 34.4917665)
GA,Colquitt,19293.146490000003,0.9576874563615468,POINT (-84.7336278 31.1712947)
MI,Branch,20818.253478,0.9142374990197396,POINT (-86.0393851 43.9462075)
